name,religion,dob,image_urls,political_carrer,civil_status,images,party,occupation
"Hon. Akurugoda, Sepala, M.P.", : Buddhism,,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. Adikari, Adikari Mudiyanselage Appuhamy, M.P.",, : 26-12-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/2036.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2036.jpg', 'path': 'full/63b9355ce2c3d696245b96d5a7f20c2142795430.jpg', 'checksum': '5973789500984387c7597bbfb45a904e'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Adikari, Adikari Mudiyanselage Somapala, M.P.", : Buddhism, : 24-11-1935,http://parliament.lk/uploads/images/members/profile_images/thumbs/2037.jpg,"Chairman Villege Council Kalagam Korale South in Anuradhapura district - 1956 - 1971.
Unsuccessfully contested Kalawewa Electorate through U.N.P. ticket in 1965 & 1970.
Elected to Parliament in 1974 by election.
Elected to Parliament again in 1977, 1989 and 1994 general elections.
Deputy Minister of Irrigation, Power & Highways - 23.07.1977.
Deputy Minister of  Lands & Land development - 14.09.1978
Minister of Tourism - 18.02.1989 , Minister of Reconstruction, Rehbilitations & Social Welfare - 30.03.1990
Minister of Posts& Telecommunications - 14.03.1991
A Member of the Working committee of the U.N.P. since 1974.
Elected as a opposition M.P. representing the U.N.P. from Anuradhapura district.", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2037.jpg', 'path': 'full/e6c14ff380e7a073e067c10e25e04774faaeb286.jpg', 'checksum': '9fc5bc40ce3c0d130013c6bb4fb02fec'}]",United National Party (UNP),
"Hon. AJITH KUMARA, M.P.,, M.P.", : Buddhism, : 27-06-1973,http://parliament.lk/uploads/images/members/profile_images/thumbs/1439.jpg,"1997 Habaraduwa Pradeshiyasaba Member;
1999 Provincial Council Member  Southern Provincial Council;
President of ""Tsunami Pioneer's Collective"";", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/1439.jpg', 'path': 'full/d6e6ff7581f3bd8d90b88321ec50c319db04a1d9.jpg', 'checksum': '59b924b0d1a68fd5b39f2e289c4666e6'}]",Democratic National Alliance (DNA), : Attorney-at-Law
"Hon. Ahambaram, Thambiah, M.P.",, : 12-10-1913,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Federal Party (FP),
"Hon. Ahamed, Mohamed Cassim, M.P.", : Islam, : 20-02-1927,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,,,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",Sri Lanka Freedom Party(SLFP),
"Hon. Adikari, Janak Mahendra, M.P.", : Buddhism, : 19-12-1965,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Single,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",People's Alliance (PA),
"Hon. Ahamed Fareeth, Meera Lebbe, M.P.", : Islam, : 18-04-1940,http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg,, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/default_m.jpg', 'path': 'full/365abff7a523244325f3f6750bb8e32508622c41.jpg', 'checksum': '373f88db1277abded952ea5673d69bfe'}]",United National Party (UNP),
"Hon. ACHALA JAGODAGE, M.P.,, M.P.", : Buddhism, : 26-07-1973,http://parliament.lk/uploads/images/members/profile_images/thumbs/226.jpg,-, : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/226.jpg', 'path': 'full/6491ffbc9bf33ed260abb017ce4c1ff3be2442df.jpg', 'checksum': '7f8f242a6c34996bf0d24afffc2dc5c3'}]",United People's Freedom Alliance(UPFA),
"Hon. Aboosally, Mohamed Lebbe Marikkar, M.P.", : Islam, : 02-09-1920,http://parliament.lk/uploads/images/members/profile_images/thumbs/2033.jpg,"UNP Organizer Balangoda Electorate from 1960; Member Balangoda Urban Council; Chairman Balangoda Urban Council; Contested Balangoda electorate for UNP 1960,1965,1966,1977 & 1989", : Married,"[{'url': 'http://parliament.lk/uploads/images/members/profile_images/thumbs/2033.jpg', 'path': 'full/507c2344f0306cccaf8acc5f1b05fbe7f8925fb6.jpg', 'checksum': 'e18ff8c13826f357ad77454fbfc32c2e'}]",United National Party (UNP), : Planter
